Agglomeration_ID,agglosName,x,y,Pop2015,ISO3,Region,Between,degree
6692,Ngaoundal,13.2737153,6.4662822,32622,CMR,Central,5341.065157,2
6079,Mislata ,14.0360789,32.5802069,32603,LBY,North,56845.29377,2
3838,Humera,36.609692,14.2863817,32600,ETH,East,2945.422592,2
326,Aïn El Hadjel,3.8724258,35.6660581,32592,DZA,North,256575.4494,2
7797,Sarsana,30.929558,29.4571501,32563,EGY,North,1722586.863,2
7418,Qasr Rashwan,30.8960035,29.5173463,32554,EGY,North,775194.6875,2
5382,Lumame,37.9080757,10.2627922,32541,ETH,East,171574.7544,2
121,Abu Sir al-Malaq,31.0586856,29.3100742,32537,EGY,North,938253.2306,2
1722,Batouri,14.3651092,4.4362396,32515,CMR,Central,7551.328564,2
4981,Kongoussi,-1.5266879,13.3250399,32490,BFA,West,37585.65367,3
6440,Muzinda,29.4169275,-3.2726263,32485,BDI,East,836393.8456,2
4465,Kalukembe,14.6864053,-13.7902521,32452,AGO,Central,15988.20961,2
5258,Lere,14.2370294,9.6616703,32442,TCD,Central,4358.664908,2
7192,Oukasie,27.8039689,-25.6812303,32423,ZAF,South,1603657.15,2
5511,Mahallat Farnawi,30.6753066,31.0272732,32381,EGY,North,614694.5887,2
7393,Qalandul,30.8066746,27.8879599,32375,EGY,North,1009952.03,2
8709,Ugbokpo,7.8786323,7.6357883,32369,NGA,West,777844.8894,2
8807,Uyovu,31.5233141,-3.3390655,32361,TZA,East,78511.07856,2
405,Akim Achiase,-1.0008871,5.8274931,32327,GHA,West,147812.988,2
2440,Chiredzi,31.6385624,-21.0266679,32319,ZWE,East,4522.238323,2
1796,Bena-Dibele,22.8260091,-4.1109581,32300,COD,Central,2597.150354,2
4067,Inkisi,15.084124,-5.1314245,32300,COD,Central,340802.7864,1
4475,Kambia,-12.9266523,9.1114946,32234,SLE,West,45875.09775,2
8096,Siliana,9.3821708,36.0772253,32218,TUN,North,49590.81619,2
2800,Djenne,-4.554412,13.9048912,32211,MLI,West,8410.255379,2
8168,Songo,14.8514342,-7.3547791,32167,AGO,Central,61802.76867,2
3060,El Mahmel,7.2167518,35.3694009,32096,DZA,North,676093.6505,2
6492,Nadiba,30.4259001,31.0409827,32080,EGY,North,354408.2509,1
3413,Gatumba,29.2478491,-3.3340566,32079,BDI,East,434498.5626,2
3369,Gaoua,-3.1858765,10.3330223,32074,BFA,West,4955.984472,2
336,Aïn Kercha,6.6958729,35.9248549,32074,DZA,North,1172211.219,2
7413,Qasr al-Gibali,30.7082006,29.3952881,32074,EGY,North,2950392.773,2
8900,Vuxuzithathe,30.1292485,-30.782624,32062,ZAF,South,191257.0789,2
